permit_number,address,neighborhood,type,value,status,description,applied_date,issued_date,completed_date,contractor_name,contractor_license,housing_units,review_level,primary_property_use,parcel_number,work_performed_by,number_review_cycles,total_days_plan_review
7137849-CN,"2972 S GRAHAM ST, SEATTLE, WA",Hillman City,residential,601717,active,Establish use as housing for one detached housing units  per land use code. Existing detached dwelling to remain. Construct new one-family dwelling  per plan.,2026-05-05,2026-07-02,,,,1,Full +,Single Family/Duplex,DV1137945,Owner/Lessee,4,57
7126293-CN,"3520 27TH PL W, SEATTLE, WA",Magnolia,residential,35000,active,Construct voluntary seismic improvements to a multi-family building  per plans,2026-05-04,2026-07-02,,Mountain West Development Inc,MOUNTWD774CA,0,Full +,Multifamily,DV0032988,Licensed Contractor,2,57
7123139-CN,"9830 43RD PL NE, SEATTLE, WA",Meadowbrook,residential,75000,new,Construct foundation repair with helical-piles for existing one-family dwelling  per plans.,2026-04-10,2026-07-02,,,,0,,,,,3,
7127488-DM,"13515 27TH AVE NE, SEATTLE, WA",Pinehurst,residential,1200000,active,Demolish existing one family dwelling  detached accessory structure  and hard surfaces  Subject to Field Inspection (STFI).,2026-03-24,2026-07-02,,,,-1,,,,,0,
7115182-CN,"4511 50TH AVE SW, SEATTLE, WA",West Seattle,residential,200000,active,Construct site improvements accessory to existing one-family dwelling  per plan,2026-02-12,2026-07-02,,,,0,,,,,3,117
7116461-CN,"3013 NE 103RD ST, SEATTLE, WA",Meadowbrook,residential,372895,active,Establish use as single-family dwelling units  per Land Use Code.  Construct new middle one family dwelling (SFR B)  per plan.,2025-12-04,2026-07-02,,,,1,,,,,4,201
6877254-CN,"12320 24TH AVE NE, SEATTLE, WA",Other Seattle,residential,2000,active,Remove unpermitted detached shed accessory to existing single family residence and stabilize associated slope area  per plan.,2025-10-14,2026-07-02,,,,0,,,,,3,260
7144578-DM,"325 DENNY WAY, SEATTLE, WA",Belltown,land,500000,active,Demolish existing commercial building  per plan.,2026-06-08,2026-07-02,,,,0,,,,,2,18
7145190-CN,"6045 CALIFORNIA AVE SW, SEATTLE, WA",West Seattle,commercial,10000,active,Tenant Improvement for food processing establishment   Subject to field inspection (STFI),2026-06-30,2026-07-02,,,,0,,,,,0,
7151164-CN,"1501 4TH AVE, Seattle, WA",Downtown,commercial,41000,active,Construct non structural tenant improvement to office space  subject to field inspection  STFI.,2026-07-02,2026-07-02,,,,0,,,,,,
