contractor_name,license_number,specialty,permit_count,total_project_value
SOUND SEISMIC LLC,SOUNDSL836ND,General Contractor,101,431660
GROUNDWORKS,GROUN**763O5,General Contractor,98,3371769
"HOME DEPOT, THE",HOMED**088RH,General Contractor,86,1063629
SELLEN CONSTR CO INC,SELLEC*372N0,General Contractor,78,190015399
MODERN HOMES LLC,MODERHL878J9,Single Family/Duplex,70,44365996
GATEWAY CONSTRUCTION SRVCS INC,GATEWCS992C3,General Contractor,64,33534202
SEA HOME BUILDERS LLC,SEAHOHB806DO,General Contractor,62,37598661
EVERGREEN SEISMIC LLC,EVERGSL823JF,General Contractor,60,188400
MASTEC NETWORK SOLUTIONS INC,MASTENS876KN,General Contractor,59,1946750
WINDOW NATION LLC,WINDONL771PW,General Contractor,58,958635
CORTI CONSTRUCTION INC,CORTICI838JO,General Contractor,57,8982181
VENTURE GENERAL CONTRCTNG LLC,VENTUGC899LZ,General Contractor,56,576674488
JAS DESIGN-BUILD INC,JASDEDI775QN,General Contractor,54,4273572
R&R FOUNDATION SPECIALIST LLC,RRFOUFS829DA,General Contractor,48,1545570
REAL PROPERTY FUNDING GRP LLC,REALPPF855N5,General Contractor,47,12609119
SKYLINE CONSTRUCTION,SKYLIC*773DW,Commercial,47,65419759
MODELREMODEL LLC,MODELL*971P1,General Contractor,42,6179064
G L Y CONSTRUCTION INC,GLYCOI*018O9,General Contractor,41,47193611
ROLAND DEVELOPMENT LLC,ROLANDL841QM,General Contractor,39,36359067
BNBUILDERS INC,BNBUII*990K3,General Contractor,37,59160393
Built Square LLC,BUILTSL921R9,General Contractor,36,1064317
ABBOTT CONSTRUCTION LLC,ABBOTCL781KS,General Contractor,34,50460137
CRD DESIGN BUILD INC,CRDDEDB831OL,General Contractor,33,5129512
COOMBES DEVELOPMENT LLC,COOMBDL846NT,General Contractor,32,17596519
EXXEL PACIFIC INC,EXXELPI073KN,General Contractor,32,2986340392
NW EXTREME INSTALLERS INC,NWEXTEI882NL,General Contractor,32,456511
STRONGHOME SEISMIC INC,STRONSI813KH,General Contractor,32,161220
Howard S Wright,HOWARSW863BG,General Contractor,31,63472704
J E CUMMING CORP,JECUMC*148JH,General Contractor,31,6978210
OLSEN ANDERSON CONST LLC,OLSENAC813OC,General Contractor,31,30829797
ARIES BUILDING SYSTEMS LLC,ARIESBS868NA,General Contractor,30,201590166
METIS CONSTRUCTION INC,METISCI910K9,General Contractor,30,4598773
NOVA HOMES LLC,NOVAHHL776QH,General Contractor,29,16513787
DPR CONSTRUCTION A GEN PRTNRSH,DPRCOCG833BP,General Contractor,28,42419046
GREENCITY DEVELOPMENT LLC,GREENDL842LL,General Contractor,27,32550058
M A MORTENSON COMPANY,MAMORC*190N6,General Contractor,26,22914934
ASHWORTH HOMES LLC,ASHWOHL950JL,General Contractor,25,12273595
AVARA CONSTRUCTION INC,AVARACI824BR,General Contractor,25,25590290
GASPAR'S CONSTRUCTION INC,GASPACI055BS,General Contractor,25,1560217
STS REMODELING CORP,STSREC*000NG,General Contractor,25,5405873
AE CONSTRUCTION LLC,AECONCL881QR,General Contractor,24,17772515
Green Built Northwest LLC,GREENBN861QE,General Contractor,24,341000
HST CONSTRUCTION INC,HSTCOCI920KA,General Contractor,24,7169944
JTM CONSTRUCTION  INC,JTMCOCI813DL,General Contractor,24,260185569
REVISION HOMES INC,REVISHI851PO,General Contractor,24,4093021
SEATTLE SEISMIC LLC,SEATTSL807JL,General Contractor,24,164246
THE BEST PRACTICE,BESTPBP811LJ,General Contractor,24,6463315
TURNER CONSTRUCTION COMPANY,TURNECC237D2,General Contractor,23,154496887
A-FFIX LLC,AFFIXL*015KS,General Contractor,22,176082
BACKYARD ADU LLC,BACKYAL786JM,Single Family/Duplex,22,5965396
FOUSHEE & ASSOCIATES CO INC,FOUSHAC158OD,General Contractor,22,15626898
HARJO CONSTRUCTION SRVS LLC,HARJOCS902BL,General Contractor,22,3635133
MCBRIDE CONST RESOURCES INC,MCBRICR099JZ,General Contractor,22,6691736
BLACKWOOD BUILDERS LLC,BLACKBL771O7,General Contractor,21,9601308
COASTAL CONSTRUCTION LLC,COASTCL850RC,General Contractor,21,3771530
DYNA CONTRACTING INC,DYNACI*999PW,General Contractor,21,12906425
HERNANDEZ BUILDS LLC,HERNABL805RC,General Contractor,21,7103851
MIRRA HOMES LLC,MIRRAHL817LK,General Contractor,21,17702793
